,title,type,episodes,score,members,favorites,genre,studio,rating,demographic,theme,popularity,source,rank
845,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,OVA,1,7.12,"92,475",53,Comedy,Brain's Base,PG-13 - Teens 13 or older,Shoujo,Historical,#1698,Manga,#3246
846,Urara Meirochou,TV,12,7.12,"114,577",389,Comedy,J.C.Staff,PG-13 - Teens 13 or older,Seinen,N/A,#1422,4-koma manga,#3247
847,Yes ka No ka Hanbun ka,Movie,1,7.12,"31,696",146,Boys Love,Lesprit,None,N/A,N/A,#3166,Light novel,#3248
848,Yinhun x He Wei Dao,ONA,3,7.12,"6,441",8,Comedy,Bandai Namco Pictures,G - All Ages,N/A,N/A,#6276,Manga,#3249
849,Yoake Mae yori Ruriiro na: Crescent Love,TV,12,7.12,"35,471",126,Comedy,Daume,PG-13 - Teens 13 or older,N/A,School,#2976,Visual novel,#3250
850,Mutafukaz,Movie,1,7.08,"16,086",68,Action,Studio 4°C,R - 17+ (violence & profanity),N/A,Psychological,#4357,Manga,#3401
851,Otsukimi Recital,Music,1,7.08,"4,063",9,Music,add some,PG-13 - Teens 13 or older,N/A,Music,#7542,Music,#3402
852,Pokemon Movie 03: Kesshoutou no Teiou Entei,Movie,1,7.08,"152,765",124,Action,OLM,PG - Children,Kids,N/A,#1144,Game,#3403
853,Raiyantsuuri no Uta,Movie,1,7.08,"1,352",2,Drama,add some,G - All Ages,N/A,Historical,#10335,Unknown,#3404
854,Red Garden,TV,22,7.08,"40,854",136,Drama,Gonzo,R - 17+ (violence & profanity),N/A,N/A,#2741,Original,#3405
855,Sasameki Koto,TV,13,7.08,"64,195",263,Comedy,AIC,PG-13 - Teens 13 or older,N/A,School,#2155,Manga,#3406
856,Shakunetsu no Takkyuu Musume,TV,12,7.08,"38,774",134,Sports,Kinema Citrus,PG-13 - Teens 13 or older,N/A,N/A,#2825,Web manga,#3407
857,Sora no Manimani,TV,12,7.08,"39,766",60,Comedy,Studio Comet,PG-13 - Teens 13 or older,Seinen,School,#2777,Manga,#3408
858,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,Special,1,7.08,"4,254",3,Action,Studio Deen,PG-13 - Teens 13 or older,Seinen,Police,#7430,Manga,#3409
859,Tales of Symphonia The Animation: Tethe'alla-hen Specials,Special,4,7.08,"7,150",7,Comedy,ufotable,G - All Ages,N/A,N/A,#6042,Game,#3410
860,Uchuu Densetsu Ulysses 31,TV,26,7.08,"4,765",23,Action,TMS Entertainment,G - All Ages,N/A,Space,#7077,Original,#3411
861,Uchuu Senkan Yamato III,TV,25,7.08,"5,146",11,Action,Academy Productions,PG-13 - Teens 13 or older,N/A,Military,#6866,Original,#3412
862,Uma Musume: Pretty Derby - BNW no Chikai,Special,3,7.08,"9,710",12,Slice of Life,P.A. Works,PG-13 - Teens 13 or older,N/A,N/A,#5311,Game,#3413
863,Urusei Yatsura: The Shougaibutsu Suieitaikai,Special,1,7.08,"4,135",11,Action,Sunrise,PG-13 - Teens 13 or older,N/A,School,#7504,Manga,#3414
864,Wasurenagumo,Movie,1,7.08,"32,496",48,Comedy,Production I.G,PG-13 - Teens 13 or older,N/A,N/A,#3133,Original,#3415
865,Yakushiji Ryouko no Kaiki Jikenbo,TV,13,7.08,"16,589",34,Mystery,Doga Kobo,PG-13 - Teens 13 or older,N/A,Police,#4308,Light novel,#3416
866,Yoroiden Samurai Troopers,TV,39,7.08,"16,422",139,Adventure,Sunrise,PG-13 - Teens 13 or older,Shounen,Samurai,#4323,Original,#3417
867,Zero kara Hajimeru Mahou no Sho,TV,12,7.08,"218,956",478,Action,White Fox,PG-13 - Teens 13 or older,N/A,N/A,#796,Light novel,#3418
868,Mushibugyou OVA,OVA,3,7.07,"7,257",3,Action,Seven Arcs Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#5999,Manga,#3419
869,Nintama Rantarou,TV,?,7.07,"5,908",61,Comedy,Ajia-Do,G - All Ages,Kids,N/A,#6492,Manga,#3420
870,Nisekoi: OVA,OVA,2,7.07,"80,516",58,Comedy,Shaft,PG-13 - Teens 13 or older,Shounen,Harem,#1864,Manga,#3421
871,Pokemon Movie 20: Kimi ni Kimeta!,Movie,1,7.07,"43,150",47,Action,OLM,PG - Children,Kids,N/A,#2666,Game,#3422
872,RabbiTube: Creator ni Challenge!,ONA,?,7.07,782,7,Comedy,DandeLion Animation Studio,G - All Ages,N/A,N/A,#11677,Game,#3423
873,Riding Bean,OVA,1,7.07,"17,194",64,Action,AIC,R+ - Mild Nudity,Seinen,Cars,#4232,Manga,#3424
874,Ro-Kyu-Bu! SS,TV,12,7.07,"34,488",47,Comedy,Barnum Studio,PG-13 - Teens 13 or older,N/A,School,#3019,Light novel,#3425
875,Rockman.EXE Stream,TV,51,7.07,"8,339",20,Action,Xebec,PG - Children,Shounen,Game,#5668,Game,#3426
876,Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,Special,1,7.07,"106,845",72,Comedy,A-1 Pictures,PG-13 - Teens 13 or older,N/A,Harem,#1503,Light novel,#3427
877,Sekai Seifuku: Bouryaku no Zvezda,TV,12,7.07,"127,379",291,Action,A-1 Pictures,PG-13 - Teens 13 or older,N/A,N/A,#1326,Original,#3428
878,Shin Getter Robo tai Neo Getter Robo,OVA,4,7.07,"4,814",14,Action,Brain's Base,PG-13 - Teens 13 or older,Shounen,Mecha,#7060,Unknown,#3429
879,Shuffle!,TV,24,7.07,"253,889","1,391",Comedy,asread.,R+ - Mild Nudity,Seinen,Harem,#681,Visual novel,#3430
880,Sousei no Aquarion OVA,OVA,2,7.07,"10,111",12,Action,Satelight,R+ - Mild Nudity,N/A,Mecha,#5236,Original,#3431
881,Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,Movie,1,7.07,"88,022",184,Comedy,Qualia Animation,PG-13 - Teens 13 or older,N/A,School,#1759,Music,#3432
882,Tottemo! Luckyman,TV,50,7.07,"2,119",13,Comedy,Studio Pierrot,G - All Ages,Shounen,Super Power,#9228,Manga,#3433
883,"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",TV,12,7.07,"160,859",543,Fantasy,Maho Film,PG-13 - Teens 13 or older,N/A,N/A,#1078,Light novel,#3434
884,Urusei Yatsura Movie 1: Only You,Movie,1,7.07,"8,202",7,Action,Studio Pierrot,PG-13 - Teens 13 or older,N/A,N/A,#5718,Manga,#3435
885,11-nin Iru!,Movie,1,7.07,"9,406",29,Action,Magic Bus,PG-13 - Teens 13 or older,Shoujo,Space,#5386,Manga,#3436
886,All Out!!,TV,25,7.07,"97,117",317,Sports,Madhouse,PG-13 - Teens 13 or older,Seinen,School,#1639,Manga,#3437
887,Armitage III: Poly-Matrix,Movie,1,7.07,"13,025",29,Action,AIC,R+ - Mild Nudity,N/A,Mecha,#4708,Original,#3438
888,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,Special,1,7.07,"22,867",13,Comedy,SILVER LINK.,PG-13 - Teens 13 or older,N/A,N/A,#3722,Light novel,#3439
889,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,Special,1,7.07,"15,625",25,Shoujo,Toei Animation,PG-13 - Teens 13 or older,Shoujo,N/A,#4402,Manga,#3440
890,Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,OVA,1,7.07,"103,478",46,Comedy,AIC Build,R+ - Mild Nudity,N/A,Harem,#1550,Light novel,#3441
891,Chicchana Yukitsukai Sugar,TV,24,7.07,"21,295",117,Comedy,J.C.Staff,PG - Children,N/A,N/A,#3856,Original,#3442
892,Dirty Pair: The Movie,Movie,1,7.07,"7,486",29,Action,Sunrise,PG-13 - Teens 13 or older,N/A,Police,#5930,Light novel,#3443
893,Doraemon Movie 14: Nobita to Buriki no Labyrinth,Movie,1,7.07,"4,393",2,Fantasy,add some,PG - Children,N/A,N/A,#7354,Unknown,#3444
894,Doubutsu no Mori,Movie,1,7.07,"22,537",135,Slice of Life,OLM,G - All Ages,Kids,N/A,#3750,Game,#3445
895,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",Movie,1,7.07,"140,001",97,Action,Toei Animation,PG-13 - Teens 13 or older,Shounen,Martial Arts,#1230,Manga,#3446
896,Escaflowne,Movie,1,7.07,"61,047",165,Adventure,Bones,PG-13 - Teens 13 or older,Shoujo,Mecha,#2217,Original,#3447
897,Fate/kaleid liner Prisma☆Illya,TV,10,7.07,"235,478",933,Action,SILVER LINK.,PG-13 - Teens 13 or older,N/A,N/A,#745,Manga,#3448
898,"Flanders no Inu, Boku no Patrasche",TV,26,7.07,"1,732",5,Drama,TMS Entertainment,G - All Ages,N/A,Historical,#9762,Novel,#3449
899,Gokushufudou,ONA,5,7.07,"239,896","1,491",Comedy,J.C.Staff,PG-13 - Teens 13 or older,N/A,N/A,#728,Manga,#3450
900,Pokemon XY&Z Specials,Special,2,7.04,"8,951",4,Action,OLM,PG - Children,Kids,N/A,#5504,Game,#3601
901,Ranma ½: Totteoki Talk - Best of Memories,OVA,1,7.04,"3,852",1,Comedy,add some,PG-13 - Teens 13 or older,N/A,Martial Arts,#7684,Unknown,#3602
902,Rental Magica,TV,24,7.04,"57,014",95,Fantasy,Zexcs,PG-13 - Teens 13 or older,N/A,N/A,#2301,Light novel,#3603
903,Seiyou Kottou Yougashiten: Antique,TV,12,7.04,"33,878",90,Boys Love,Nippon Animation,PG-13 - Teens 13 or older,Shoujo,N/A,#3051,Manga,#3604
904,Senyuu. Specials,Special,4,7.04,"16,705",13,Action,Ordet,PG-13 - Teens 13 or older,Shounen,N/A,#4288,Web manga,#3605
905,Shingeki no Kyojin in the Dome: Heishi-tachi no Hoshizora,Movie,1,7.04,"16,204",14,Military,add some,R - 17+ (violence & profanity),Shounen,Military,#4343,Manga,#3606
906,Tokyo Ghoul √A,TV,12,7.04,"1,458,806","9,467",Action,Studio Pierrot,R - 17+ (violence & profanity),Seinen,Psychological,#44,Manga,#3607
907,Tsurikichi Sanpei,TV,109,7.04,"3,836",16,Adventure,Nippon Animation,G - All Ages,N/A,N/A,#7688,Manga,#3608
908,ViVid Strike!,TV,12,7.04,"68,357",148,Action,Seven Arcs Pictures,PG-13 - Teens 13 or older,N/A,Martial Arts,#2067,Original,#3609
909,Watashi ga Motete Dousunda,TV,12,7.04,"358,081","1,547",Comedy,Brain's Base,PG-13 - Teens 13 or older,Shoujo,Harem,#457,Manga,#3610
910,Zombie-Loan Specials,Special,2,7.04,"27,098",27,Action,Xebec,PG-13 - Teens 13 or older,Shounen,N/A,#3422,Manga,#3611
911,Monster Musume no Iru Nichijou,TV,12,7.03,"618,864","3,333",Comedy,Lerche,R+ - Mild Nudity,Seinen,Harem,#225,Manga,#3612
912,Nanatsu no Taizai: Seisen no Shirushi,TV,4,7.03,"581,797",699,Action,A-1 Pictures,PG-13 - Teens 13 or older,Shounen,N/A,#246,Manga,#3613
913,Nijiiro Hotaru: Eien no Natsuyasumi,Movie,1,7.03,"6,253",14,Fantasy,Toei Animation,G - All Ages,N/A,N/A,#6360,Novel,#3614
914,One Piece 3D: Mugiwara Chase,Movie,1,7.03,"47,214",40,Action,Toei Animation,PG-13 - Teens 13 or older,Shounen,N/A,#2549,Manga,#3615
915,Prayer X,Music,1,7.03,"1,052",7,Avant Garde,PERIMETRON,PG-13 - Teens 13 or older,N/A,Music,#10952,Original,#3616
916,Princess Connect! Re:Dive,TV,13,7.03,"187,959",636,Action,CygamesPictures,PG-13 - Teens 13 or older,N/A,N/A,#936,Game,#3617
917,Re Boot,Music,1,7.03,"3,238",6,Drama,add some,G - All Ages,N/A,Music,#8121,Unknown,#3618
918,Seirei Gensouki,TV,12,7.03,"169,550","1,785",Action,TMS Entertainment,PG-13 - Teens 13 or older,N/A,Harem,#1012,Light novel,#3619
919,Shakugan no Shana-tan III (Final): Final Destruction,Special,2,7.03,"18,447",17,Comedy,J.C.Staff,PG-13 - Teens 13 or older,N/A,Parody,#4093,Unknown,#3620
920,Show By Rock!!,TV,12,7.03,"73,339",325,Comedy,Bones,PG-13 - Teens 13 or older,N/A,Music,#1960,Game,#3621
921,Show By Rock!! #,TV,12,7.03,"26,623",66,Comedy,Bones,PG-13 - Teens 13 or older,N/A,Music,#3456,Game,#3622
922,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",TV,12,7.03,"235,911","1,443",Comedy,Revoroot,PG-13 - Teens 13 or older,N/A,N/A,#747,Light novel,#3623
923,Strike the Blood III,OVA,10,7.03,"93,630",157,Action,Connect,R+ - Mild Nudity,N/A,Harem,#1690,Light novel,#3624
924,Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,Special,1,7.03,"2,829",1,Action,Studio Deen,PG-13 - Teens 13 or older,N/A,Police,#8474,Manga,#3625
925,Tight-rope,OVA,2,7.03,"43,092",90,Boys Love,PrimeTime,PG-13 - Teens 13 or older,N/A,N/A,#2667,Manga,#3626
926,To LOVE-Ru,TV,26,7.03,"541,708","3,653",Comedy,Xebec,R+ - Mild Nudity,Shounen,Harem,#285,Manga,#3627
927,Uchuu Senkan Yamato: Fukkatsu-hen,Movie,1,7.03,"3,691",3,Action,add some,PG-13 - Teens 13 or older,N/A,Military,#7793,Original,#3628
928,Witch Craft Works,TV,12,7.03,"270,974",606,Action,J.C.Staff,PG-13 - Teens 13 or older,Seinen,N/A,#628,Manga,#3629
929,Wonderful Days,Movie,1,7.03,"32,529",67,Action,add some,PG-13 - Teens 13 or older,N/A,N/A,#3124,Original,#3630
930,Yami Shibai,TV,13,7.03,"88,810",246,Avant Garde,ILCA,PG-13 - Teens 13 or older,N/A,N/A,#1750,Original,#3631
931,Yankee-kun na Yamada-kun to Megane-chan to Majo,Special,1,7.03,"21,800",8,Comedy,LIDENFILMS,PG-13 - Teens 13 or older,Shounen,School,#3809,Manga,#3632
932,Yuragi-sou no Yuuna-san,TV,12,7.03,"228,813",599,Comedy,Xebec,R+ - Mild Nudity,Shounen,Harem,#769,Manga,#3633
933,Ze Tian Ji 2nd Season,ONA,12,7.03,"2,719",3,Action,Shanghai Foch Film and TV Culture Investment,PG-13 - Teens 13 or older,N/A,N/A,#8572,Novel,#3634
934,Akazukin Chacha OVA,OVA,3,7.03,"2,373",5,Comedy,Gallop,G - All Ages,N/A,N/A,#8914,Manga,#3635
935,Ao no 6-gou,OVA,4,7.03,"49,654",219,Action,Gonzo,PG-13 - Teens 13 or older,N/A,Mecha,#2482,Manga,#3636
936,Armitage III,OVA,4,7.03,"28,564",114,Action,AIC,R - 17+ (violence & profanity),N/A,Mecha,#3330,Original,#3637
937,Azumanga Daioh: Gekijou Tanpen,Special,1,7.03,"37,087",16,Comedy,J.C.Staff,G - All Ages,N/A,School,#2898,4-koma manga,#3638
938,Binan Koukou Chikyuu Boueibu LOVE! LOVE!,TV,12,7.03,"26,006",106,Comedy,Studio Comet,PG-13 - Teens 13 or older,N/A,Parody,#3503,Original,#3639
939,Black Jack (TV): Hizouban Specials,Special,2,7.03,"2,707",1,Adventure,Tezuka Productions,G - All Ages,N/A,N/A,#8583,Unknown,#3640
940,Chain Chronicle: Haecceitas no Hikari Part 1,Movie,1,7.03,"21,199",17,Action,Telecom Animation Film,PG-13 - Teens 13 or older,Shounen,N/A,#3861,Game,#3641
941,Chicchana Yukitsukai Sugar Specials,Special,2,7.03,"5,046",6,Comedy,J.C.Staff,G - All Ages,Shoujo,N/A,#6913,Original,#3642
942,Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,OVA,1,7.03,"38,536",26,Comedy,Madhouse,PG-13 - Teens 13 or older,Josei,School,#2838,Manga,#3643
943,Code Geass: Hangyaku no Lelouch Recaps,Special,2,7.03,"34,018",54,Action,Sunrise,PG-13 - Teens 13 or older,N/A,Mecha,#3038,Original,#3644
944,Concrete Revolutio: Choujin Gensou - The Last Song,TV,11,7.03,"32,008",80,Action,Bones,R+ - Mild Nudity,N/A,Demons,#3141,Original,#3645
945,Dakara Boku wa Ongaku wo Yameta,Music,1,7.03,"1,004",2,Slice of Life,add some,G - All Ages,N/A,Music,#11053,Original,#3646
946,Dance in the Vampire Bund,TV,12,7.03,"201,873",623,Action,Shaft,R+ - Mild Nudity,Seinen,Vampire,#864,Manga,#3647
947,Densetsu no Yuusha Da Garn,TV,46,7.03,"3,583",12,Sci-Fi,Sunrise,PG-13 - Teens 13 or older,Shounen,Mecha,#7870,Unknown,#3648
948,Devilman: Yochou Sirene-hen,OVA,1,7.03,"18,287",79,Horror,Oh! Production,R+ - Mild Nudity,N/A,Demons,#4116,Manga,#3649
949,Dirty Pair: Lovely Angels yori Ai wo Komete,OVA,2,7.03,"4,452",4,Action,Sunrise,PG-13 - Teens 13 or older,N/A,Police,#7296,Light novel,#3650
950,Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,Special,6,6.99,"11,806",12,Comedy,SILVER LINK.,PG-13 - Teens 13 or older,N/A,School,#4918,Unknown,#3801
951,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,TV,13,6.99,"336,271","1,168",Comedy,Diomedéa,PG-13 - Teens 13 or older,N/A,Harem,#492,Light novel,#3802
952,Chobits: Chibits,Special,1,6.99,"43,977",59,Comedy,Madhouse,PG-13 - Teens 13 or older,N/A,N/A,#2645,Manga,#3803
953,Danball Senki,TV,44,6.99,"8,160",42,Action,OLM,G - All Ages,Kids,Mecha,#5730,Game,#3804
954,Densetsu Kyojin Ideon,TV,39,6.99,"12,896",82,Drama,Sunrise,PG-13 - Teens 13 or older,N/A,Mecha,#4727,Original,#3805
955,Dr. Slump,TV,74,6.99,"15,650",45,Comedy,Toei Animation,PG-13 - Teens 13 or older,Shounen,N/A,#4401,Manga,#3806
956,Fantastic Children: Befort no Kodomo-tachi no Sonogo,Special,1,6.99,"1,750",2,Slice of Life,Nippon Animation,G - All Ages,N/A,N/A,#9717,Unknown,#3807
957,Fukumenkei Noise,TV,12,6.99,"101,595",515,Drama,Brain's Base,PG-13 - Teens 13 or older,Shoujo,Music,#1574,Manga,#3808
958,Grander Musashi RV,TV,39,6.99,"2,048",8,Adventure,Nippon Animation,PG-13 - Teens 13 or older,N/A,N/A,#9315,Unknown,#3809
959,HeatGuy J Special,Special,1,6.99,"2,353",1,Action,Satelight,PG-13 - Teens 13 or older,N/A,Mecha,#8935,Original,#3810
960,Hime Chen! Otogi Chikku Idol Lilpri,TV,51,6.99,"9,201",48,Shoujo,TMS Entertainment,PG - Children,Shoujo,N/A,#5429,Game,#3811
961,Himouto! Umaru-chanS,Special,12,6.99,"65,307",92,Comedy,Doga Kobo,PG-13 - Teens 13 or older,Seinen,N/A,#2129,Manga,#3812
962,Huyao Xiao Hongniang: Jin Chenxi,ONA,10,6.99,"1,856",3,Comedy,Haoliners Animation League,PG-13 - Teens 13 or older,N/A,Historical,#9568,Manga,#3813
963,Jinzou Ningen Kikaider The Animation,TV,13,6.99,"8,607",57,Action,Radix,PG-13 - Teens 13 or older,Shounen,Mecha,#5588,Unknown,#3814
964,Kuruneko 2nd Season,TV,50,6.99,"1,267",1,Comedy,Studio Deen,G - All Ages,N/A,N/A,#10482,Manga,#3815
965,Kyuuketsuhime Miyu,OVA,4,6.99,"18,213",61,Action,AIC,PG-13 - Teens 13 or older,Shoujo,Demons,#4127,Manga,#3816
966,Manga Sekai Mukashibanashi,TV,127,6.99,"1,430",5,Adventure,Madhouse,G - All Ages,N/A,Historical,#10208,Unknown,#3817
967,Masuda Kousuke Gekijou Gag Manga Biyori +,TV,12,6.99,"2,137",1,Comedy,Studio Deen,PG-13 - Teens 13 or older,N/A,N/A,#9176,Manga,#3818
968,Bleach: The Sealed Sword Frenzy,Special,1,6.98,"102,946",124,Action,Studio Pierrot,PG-13 - Teens 13 or older,Shounen,Super Power,#1558,Manga,#3819
969,D.C.S.S: Da Capo Second Season,TV,26,6.98,"31,505",33,Comedy,feel.,PG-13 - Teens 13 or older,N/A,Harem,#3169,Visual novel,#3820
970,Digimon Tamers: Boukensha-tachi no Tatakai,Movie,1,6.98,"19,585",4,Adventure,Toei Animation,PG - Children,Shounen,N/A,#3980,Original,#3821
971,Doraemon Movie 08: Nobita to Ryuu no Kishi,Movie,1,6.98,"3,820",2,Adventure,Shin-Ei Animation,PG - Children,N/A,N/A,#7722,Unknown,#3822
972,Doraemon Movie 35: Nobita no Space Heroes,Movie,1,6.98,"3,348",3,Comedy,Shin-Ei Animation,PG - Children,N/A,Space,#8063,Unknown,#3823
973,Gravitation,TV,13,6.98,"107,587","1,062",Boys Love,Studio Deen,PG-13 - Teens 13 or older,Shoujo,Music,#1492,Manga,#3824
974,Keppeki Danshi! Aoyama-kun,TV,12,6.98,"150,209",273,Comedy,Studio Hibari,PG-13 - Teens 13 or older,Seinen,N/A,#1163,Manga,#3825
975,Kill Me Baby: Butsuzou Kegatte Nise Halloween,OVA,1,6.98,"12,796",11,Comedy,J.C.Staff,PG-13 - Teens 13 or older,N/A,School,#4744,4-koma manga,#3826
976,Kiratto Pri☆chan,TV,51,6.98,"4,436",33,Slice of Life,Tatsunoko Production,PG - Children,Shoujo,Music,#7309,Game,#3827
977,Lupin III: Lupin vs. Fukusei-ningen,Movie,1,6.98,"10,993",20,Action,Tokyo Movie Shinsha,R+ - Mild Nudity,Seinen,N/A,#5066,Manga,#3828
978,Mahou Shoujo Ikusei Keikaku,TV,12,6.98,"138,401",587,Action,Lerche,R - 17+ (violence & profanity),N/A,N/A,#1239,Light novel,#3829
979,Mai-Otome Specials,Special,9,6.98,"5,766",4,Comedy,Sunrise,PG-13 - Teens 13 or older,N/A,N/A,#6561,Original,#3830
980,Meiji Tokyo Renka,TV,12,6.98,"40,593",188,Romance,TMS Entertainment,PG-13 - Teens 13 or older,Shoujo,Harem,#2749,Visual novel,#3831
981,Mewkledreamy,TV,48,6.98,"5,450",16,Adventure,J.C.Staff,G - All Ages,Kids,N/A,#6718,Other,#3832
982,Mirai Shounen Conan (Movie),Movie,1,6.98,"2,167",6,Adventure,Nippon Animation,PG-13 - Teens 13 or older,N/A,N/A,#9138,Novel,#3833
983,Nagagutsu wo Haita Neko,Movie,1,6.98,"3,475",12,Adventure,Toei Animation,G - All Ages,Kids,N/A,#7947,Other,#3834
984,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,Movie,1,6.98,"2,859",4,Action,Toei Animation,G - All Ages,Shoujo,Music,#8451,Original,#3835
985,Project ARMS,TV,26,6.98,"11,805",31,Action,TMS Entertainment,R - 17+ (violence & profanity),N/A,Martial Arts,#4921,Manga,#3836
986,Rinne no Lagrange Season 2,TV,12,6.98,"26,402",16,Action,Xebec,PG-13 - Teens 13 or older,N/A,Mecha,#3466,Original,#3837
987,Saga Incident,Music,1,6.98,"4,632",4,Music,MAPPA,PG-13 - Teens 13 or older,N/A,Music,#7164,Original,#3838
988,"Shikabane Hime: Kuro – Soredemo, Hito to Shite",Special,1,6.98,"14,071",8,Action,Gainax,R - 17+ (violence & profanity),N/A,N/A,#4582,Manga,#3839
989,Soukyuu no Fafner: Dead Aggressor - Exodus Special,Special,1,6.98,"1,667",2,Action,Xebec,PG-13 - Teens 13 or older,N/A,Mecha,#9850,Original,#3840
990,Starship Operators,TV,13,6.98,"13,993",33,Drama,J.C.Staff,PG-13 - Teens 13 or older,N/A,Military,#4593,Light novel,#3841
991,Strike Witches,TV,12,6.98,"153,866",990,Action,Gonzo,R+ - Mild Nudity,N/A,Military,#1133,Original,#3842
992,Tantei Opera Milky Holmes: Summer Special,Special,1,6.98,"6,647",3,Comedy,J.C.Staff,PG-13 - Teens 13 or older,N/A,Super Power,#6196,Original,#3843
993,To Be Hero,TV,12,6.98,"54,315",144,Comedy,Haoliners Animation League,PG-13 - Teens 13 or older,N/A,N/A,#2374,Original,#3844
994,Tsukuyomi: Moon Phase,TV,25,6.98,"68,283",252,Comedy,Shaft,PG-13 - Teens 13 or older,Seinen,Vampire,#2062,Manga,#3845
995,Uchuu no Kishi Tekkaman Blade OVA: Twin Blood,OVA,1,6.98,"3,588",6,Action,add some,R - 17+ (violence & profanity),Shounen,Mecha,#7863,Unknown,#3846
996,Urayasu Tekkin Kazoku,TV,33,6.98,"1,753",9,Comedy,Studio Deen,R - 17+ (violence & profanity),Shounen,N/A,#9713,Manga,#3847
997,Xi You Ji,TV,52,6.98,665,6,Adventure,add some,PG - Children,N/A,N/A,#12133,Novel,#3848
998,Xing Wushen Jue,ONA,40,6.98,961,8,Action,Ruo Hong Culture,PG-13 - Teens 13 or older,N/A,Historical,#11155,Novel,#3849
999,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,Movie,1,6.97,"45,358",32,Action,Studio Pierrot,PG-13 - Teens 13 or older,Shounen,Martial Arts,#2611,Original,#3850
