,title,type,episodes,score,members,favorites,genre,studio,rating,demographic,theme,popularity,source,rank
751,Hakuouki Reimeiroku Tokuten Disc,OVA,2,7.17,"4,171",5,Action,Studio Deen,PG-13 - Teens 13 or older,Josei,N/A,#7471,Visual novel,#3001
752,Harukanaru Toki no Naka de: Maihitoyo,Movie,1,7.17,"5,425",15,Drama,Yumeta Company,PG-13 - Teens 13 or older,Shoujo,Historical,#6721,Visual novel,#3002
753,Hellsing: The Dawn,Special,3,7.17,"81,385",117,Action,Graphinica,R - 17+ (violence & profanity),Seinen,Vampire,#1850,Manga,#3003
754,Higurashi no Naku Koro ni Special: Nekogoroshi-hen,Special,1,7.17,"69,797",66,Mystery,Studio Deen,PG-13 - Teens 13 or older,N/A,N/A,#2019,Light novel,#3004
755,Inazuma Eleven Go: Chrono Stone,TV,51,7.17,"45,604",287,Sports,OLM,G - All Ages,Shounen,Super Power,#2601,Game,#3005
756,Kai Byoui Ramune,TV,12,7.17,"52,158",255,Comedy,Platinum Vision,PG-13 - Teens 13 or older,Shounen,Psychological,#2431,Manga,#3006
757,Kaitou Joker 3rd Season,TV,13,7.17,"4,329",12,Adventure,Shin-Ei Animation,PG - Children,Kids,N/A,#7389,Manga,#3007
758,Kenran Butou Sai: The Mars Daybreak,TV,26,7.17,"19,537",30,Adventure,Bones,PG-13 - Teens 13 or older,Shounen,Mecha,#3984,Original,#3008
759,Kuromukuro,TV,26,7.17,"121,342",348,Action,P.A. Works,R - 17+ (violence & profanity),N/A,Mecha,#1366,Original,#3009
760,Ling Qi,ONA,20,7.17,"74,133",387,Action,Haoliners Animation League,PG-13 - Teens 13 or older,N/A,N/A,#1949,Web manga,#3010
761,Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,ONA,12,7.17,518,3,Comedy,add some,PG - Children,N/A,N/A,#12751,Original,#3011
762,Mahoromatic: Automatic Maiden,TV,12,7.17,"55,902",178,Comedy,Gainax,R+ - Mild Nudity,N/A,Military,#2330,Manga,#3013
763,.hack//Quantum,OVA,3,7.16,"37,917",65,Action,Kinema Citrus,PG-13 - Teens 13 or older,N/A,Game,#2862,Original,#3014
764,ACCA: 13-ku Kansatsu-ka - Regards,OVA,1,7.16,"12,844",16,Drama,Madhouse,PG-13 - Teens 13 or older,Seinen,Police,#4734,Manga,#3015
765,Arabian Nights: Sindbad no Bouken (TV),TV,52,7.16,"5,927",20,Adventure,Nippon Animation,G - All Ages,N/A,N/A,#6487,Book,#3016
766,Biohazard: Damnation,Movie,1,7.16,"22,374",36,Action,Digital Frontier,R - 17+ (violence & profanity),N/A,N/A,#3761,Game,#3017
767,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,ONA,2,7.16,"121,901",137,Action,Bones,PG-13 - Teens 13 or older,Shounen,Super Power,#1365,Manga,#3018
